lambda,A
350,0.638028
351,0.637707
352,0.637178
353,0.636754
354,0.636194
355,0.635657
356,0.6349
357,0.634317
358,0.63357
359,0.633
360,0.632287
361,0.631441
362,0.63037
363,0.629564
364,0.628594
365,0.627689
366,0.626683
367,0.625519
368,0.624226
369,0.622975
370,0.621908
371,0.620568
372,0.619113
373,0.617511
374,0.616238
375,0.614925
376,0.613565
377,0.61202
378,0.610676
379,0.609283
380,0.607873
381,0.606304
382,0.604723
383,0.603171
384,0.601551
385,0.599909
386,0.598513
387,0.596988
388,0.595648
389,0.594072
390,0.592537
391,0.591025
392,0.589643
393,0.588327
394,0.586976
395,0.585447
396,0.583885
397,0.582482
398,0.581178
399,0.579815
400,0.578472
401,0.577067
402,0.575902
403,0.574541
404,0.573303
405,0.572004
406,0.570847
407,0.56989
408,0.568703
409,0.567478
410,0.566268
411,0.565296
412,0.564399
413,0.56337
414,0.562307
415,0.56136
416,0.560506
417,0.559887
418,0.559102
419,0.558414
420,0.557671
421,0.556948
422,0.556254
423,0.555524
424,0.554893
425,0.554289
426,0.553654
427,0.553061
428,0.552534
429,0.552079
430,0.551717
431,0.55129
432,0.550975
433,0.550698
434,0.550397
435,0.5501
436,0.549713
437,0.549458
438,0.549303
439,0.549194
440,0.549153
441,0.549081
442,0.549076
443,0.549043
444,0.549091
445,0.54925
446,0.549451
447,0.549721
448,0.550038
449,0.55042
450,0.550803
451,0.551237
452,0.551856
453,0.55254
454,0.55333
455,0.554093
456,0.554956
457,0.555881
458,0.556953
459,0.558082
460,0.559346
461,0.560685
462,0.562203
463,0.563756
464,0.565431
465,0.567234
466,0.569145
467,0.571258
468,0.573424
469,0.575879
470,0.57842
471,0.581261
472,0.58419
473,0.587288
474,0.590574
475,0.594174
476,0.597978
477,0.602005
478,0.606388
479,0.610938
480,0.615859
481,0.621074
482,0.626685
483,0.632541
484,0.638804
485,0.645384
486,0.652365
487,0.659728
488,0.667522
489,0.675858
490,0.684536
491,0.693672
492,0.703142
493,0.713115
494,0.723474
495,0.734149
496,0.745272
497,0.756715
498,0.768607
499,0.780797
500,0.793275
501,0.806032
502,0.81897
503,0.832126
504,0.845383
505,0.858625
506,0.871929
507,0.88514
508,0.898236
509,0.911203
510,0.923836
511,0.936157
512,0.94805
513,0.95955
514,0.970571
515,0.981004
516,0.99075
517,0.99992
518,1.00847
519,1.01644
520,1.02344
521,1.02996
522,1.03559
523,1.04032
524,1.04412
525,1.04705
526,1.04926
527,1.05048
528,1.05092
529,1.0503
530,1.04879
531,1.04649
532,1.04339
533,1.03937
534,1.03443
535,1.02874
536,1.02226
537,1.01491
538,1.00684
539,0.997918
540,0.988212
541,0.977798
542,0.966579
543,0.954773
544,0.94239
545,0.929354
546,0.915732
547,0.901765
548,0.887295
549,0.872446
550,0.857112
551,0.841367
552,0.825401
553,0.809249
554,0.792872
555,0.776206
556,0.759501
