lambda,A
350,1.97023
351,1.8648
352,1.76596
353,1.67515
354,1.59031
355,1.51342
356,1.44198
357,1.37789
358,1.31854
359,1.26518
360,1.21633
361,1.17234
362,1.13245
363,1.09663
364,1.06367
365,1.03375
366,1.00661
367,0.98216
368,0.959924
369,0.938429
370,0.920344
371,0.902153
372,0.884758
373,0.868989
374,0.854533
375,0.840432
376,0.826879
377,0.813996
378,0.801111
379,0.788573
380,0.775956
381,0.763503
382,0.75112
383,0.738758
384,0.726558
385,0.714391
386,0.702329
387,0.690251
388,0.678231
389,0.666075
390,0.654081
391,0.641956
392,0.629972
393,0.61811
394,0.606473
395,0.595016
396,0.583395
397,0.572041
398,0.560682
399,0.549403
400,0.538065
401,0.526735
402,0.51551
403,0.504288
404,0.493005
405,0.481875
406,0.470774
407,0.459724
408,0.448769
409,0.437632
410,0.426576
411,0.415498
412,0.404436
413,0.3935
414,0.382531
415,0.371465
416,0.360512
417,0.349834
418,0.339158
419,0.328482
420,0.317571
421,0.307198
422,0.296634
423,0.286293
424,0.276479
425,0.266676
426,0.257033
427,0.247655
428,0.238552
429,0.22972
430,0.221061
431,0.212606
432,0.204423
433,0.196534
434,0.188851
435,0.181473
436,0.174321
437,0.167457
438,0.160921
439,0.154635
440,0.14873
441,0.142932
442,0.137367
443,0.131998
444,0.126898
445,0.122047
446,0.117418
447,0.113039
448,0.108863
449,0.104918
450,0.10107
451,0.0973355
452,0.0938097
453,0.0904173
454,0.0872231
455,0.0841246
456,0.0810818
457,0.0781597
458,0.0753645
459,0.072661
460,0.0700964
461,0.0676254
462,0.0651833
463,0.0627805
464,0.060374
465,0.0580948
466,0.0558787
467,0.0536891
468,0.0514843
469,0.0493318
470,0.0472394
471,0.0452117
472,0.0432515
473,0.0413215
474,0.0394037
475,0.03752
476,0.0356357
477,0.0338005
478,0.0320292
479,0.0302577
480,0.0285358
481,0.0268965
482,0.0252257
483,0.0236388
484,0.0220539
485,0.0205365
486,0.0190581
487,0.0176963
488,0.0162985
489,0.0150396
490,0.0137584
491,0.0125281
492,0.0113349
493,0.0102067
494,0.00917101
495,0.00811376
496,0.0070927
497,0.00614835
498,0.00522006
499,0.00438581
500,0.00355202
501,0.00283845
502,0.00205865
503,0.00141077
504,0.00078431
505,0.000200223
506,-0.000304378
507,-0.000910289
508,-0.00140597
509,-0.00181224
510,-0.00221695
511,-0.00263168
512,-0.00303221
513,-0.00337512
514,-0.00373318
515,-0.00404877
516,-0.00435859
