 ,Label,Area,Mean,Min,Max,Perim.,Major,Minor,Angle
1,,379.043,255,255,255,68.200,22.886,21.087,8.480
2,,484.823,255,255,255,78.336,27.263,22.643,118.583
3,,502.453,255,255,255,80.076,26.100,24.512,60.951
4,,528.898,255,255,255,80.796,28.821,23.365,73.774
5,,211.559,255,255,255,51.404,17.129,15.726,1.496E-13
6,,625.862,255,255,255,91.952,32.549,24.483,168.408
7,,290.894,255,255,255,59.802,20.426,18.132,169.206
8,,396.673,255,255,255,71.678,24.593,20.537,52.319
9,,476.008,255,255,255,77.616,26.372,22.981,127.467
10,,370.228,255,255,255,68.200,23.282,20.247,128.875
11,,370.228,255,255,255,67.479,23.146,20.366,131.169
12,,449.563,255,255,255,78.336,27.104,21.118,11.098
13,,617.047,255,255,255,90.212,33.152,23.698,167.695
14,,273.264,255,255,255,59.802,20.689,16.817,148.532
15,,326.154,255,255,255,65.740,21.795,19.053,54.427
16,,484.823,255,255,255,77.616,25.312,24.387,123.356
17,,299.709,255,255,255,64.001,22.724,16.793,171.925
18,,343.783,255,255,255,64.001,22.050,19.852,33.690
19,,440.748,255,255,255,75.877,26.451,21.216,12.420
20,,264.449,255,255,255,55.603,19.385,17.369,45.001
21,,775.717,255,255,255,107.008,39.891,24.760,158.910
22,,722.827,255,255,255,102.088,36.683,25.089,100.820
23,,405.488,255,255,255,69.939,24.312,21.236,1.603
24,,493.638,255,255,255,81.815,28.958,21.704,36.428
25,,440.748,255,255,255,75.877,25.039,22.412,71.751
26,,379.043,255,255,255,68.200,24.667,19.565,164.989
27,,440.748,255,255,255,74.138,26.766,20.966,10.262
28,,696.382,255,255,255,94.411,30.510,29.061,88.536
29,,317.339,255,255,255,61.541,21.888,18.460,72.971
30,,158.669,255,255,255,43.007,15.683,12.881,0.000
31,,264.449,255,255,255,55.603,19.385,17.369,135.000
32,,299.709,255,255,255,59.802,21.003,18.169,1.264E-13
33,,493.638,255,255,255,78.336,26.037,24.140,88.994
34,,370.228,255,255,255,65.740,22.272,21.165,32.178
35,,343.783,255,255,255,64.001,21.931,19.959,155.812
36,,317.339,255,255,255,61.541,21.888,18.460,107.029
37,,326.154,255,255,255,63.280,22.697,18.296,22.884
38,,661.122,255,255,255,94.411,32.774,25.684,21.847
39,,379.043,255,255,255,67.479,22.912,21.064,45.002
40,,564.158,255,255,255,84.274,28.467,25.233,90.000
41,,617.047,255,255,255,88.473,31.424,25.002,142.498
42,,273.264,255,255,255,59.802,21.323,16.317,74.415
43,,423.118,255,255,255,72.398,24.106,22.348,147.283
44,,282.079,255,255,255,59.802,20.672,17.374,77.004
45,,590.602,255,255,255,87.753,31.349,23.987,158.846
46,,220.374,255,255,255,53.144,17.750,15.808,66.419
47,,246.819,255,255,255,55.603,18.772,16.741,41.807
48,,405.488,255,255,255,69.939,24.675,20.923,58.332
49,,687.567,255,255,255,95.132,35.639,24.564,139.069
50,,290.894,255,255,255,59.802,21.192,17.478,94.698
51,,352.598,255,255,255,68.200,23.285,19.280,82.996
52,,423.118,255,255,255,75.877,27.677,19.465,87.083
53,,317.339,255,255,255,64.001,20.929,19.305,109.968
